,new,active,deaths,accum
0,8,16,0,8
1,50,129,0,58
2,228,663,0,286
3,702,1753,4,988
4,1319,3586,39,2307
5,2192,6671,171,4499
6,3503,11683,423,8002
7,6309,19755,805,14311
8,9612,30940,1606,23923
9,11899,45105,2428,35822
10,15358,62475,2953,51180
11,20150,85212,3530,71330
12,24330,111750,3999,95660
13,27377,140483,4248,123037
14,30883,174772,4570,153920
15,34903,210658,4920,188823
16,38092,251357,4908,226915
17,39349,291058,4650,266264
18,43533,338543,5010,309797
19,44572,386624,5378,354369
20,50300,436193,5539,404669
21,49934,484306,5495,454603
22,45622,527756,5214,500225
23,41661,565874,4974,541886
24,39025,604517,4426,580911
25,37775,643266,4052,618686
26,39234,680346,3670,657920
27,38612,717803,3507,696532
28,35248,749604,3210,731780
29,29664,780841,2891,761444
30,33565,813344,2826,795009
31,32423,846751,2563,827432
32,33654,884137,2508,861086
33,39090,924232,2702,900176
34,44450,968243,3154,944626
35,42194,1008719,3341,986820
36,41267,1054952,3506,1028087
37,48563,1100806,3595,1076650
38,45128,1154557,3758,1121778
39,57132,1211280,4066,1178910
40,65177,1282082,4316,1244087
41,73954,1358421,4725,1318041
42,77145,1433198,5231,1395186
43,64131,1505063,5856,1459317
44,73890,1594302,6664,1533207
45,108267,1703561,7780,1641474
46,110171,1811221,8889,1751645
47,103725,1905341,9925,1855370
48,88133,1975283,9371,1943503
49,60138,2031949,8099,2003641
50,51843,2077120,6449,2055484
51,42564,2119982,5168,2098048
52,42282,2158322,4414,2140330
53,39748,2197064,3785,2180078
54,33909,2227288,3351,2213987
55,28069,2257003,2795,2242056
56,28484,2282077,2409,2270540
57,20571,2304502,2256,2291111
58,26622,2329820,2034,2317733
59,23241,2350970,1906,2340974
60,20986,2370794,1555,2361960
61,18396,2388318,1365,2380356
62,16451,2403195,1118,2396807
63,14412,2417885,938,2411219
64,14690,2432611,803,2425909
65,15305,2447985,754,2441214
66,16408,2465833,663,2457622
67,19811,2486807,682,2477433
68,23124,2512382,702,2500557
69,30424,2545880,789,2530981
70,38127,2590553,938,2569108
71,56948,2659302,1160,2626056
72,80081,2748008,1538,2706137
73,104823,2862645,2286,2810960
74,122943,2989682,3327,2933903
75,128992,3123463,4293,3062895
76,134570,3252269,5005,3197465
77,119011,3365876,5588,3316476
78,102351,3456930,5457,3418827
79,85903,3537596,5004,3504730
80,74092,3604925,4465,3578822
81,56497,3659033,3880,3635319
82,56706,3709945,3332,3692025
83,43229,3748619,2795,3735254
84,35045,3779859,2327,3770299
85,29998,3806724,1985,3800297
86,25185,3830420,1577,3825482
87,22457,3849689,1329,3847939
88,18883,3868790,1123,3866822
89,19464,3886257,1014,3886286
90,17113,3905060,956,3903399
91,18914,3921644,916,3922313
92,17913,3939108,915,3940226
93,17125,3954605,924,3957351
94,16178,3970352,848,3973529
95,20917,3999995,791,3994446
96,59370,4095383,768,4053816
97,210991,4376778,934,4264807
98,411741,4798332,1470,4676548
99,396070,5156530,2553,5072618
100,269459,5381196,3630,5342077
101,155801,5507006,3770,5497878
102,81754,5580559,3132,5579632
103,58326,5629241,2182,5637958
104,34464,5655774,1432,5672422
105,20174,5672427,798,5692596
106,13418,5683005,506,5706014
107,9520,5689773,292,5715534
108,6563,5694755,183,5722097
109,6179,5698639,143,5728276
110,4595,5701331,106,5732871
111,2990,5702386,76,5735861
112,3703,5704403,58,5739564
113,3738,5706527,40,5743302
114,4112,5708696,40,5747414
115,5157,5711416,33,5752571
116,7675,5718394,32,5760246
117,12103,5729887,36,5772349
118,19408,5750071,32,5791757
119,34024,5786552,32,5825781
120,54041,5845388,68,5879822
121,92427,5915287,96,5972249
